# model literature_powerlaw_scale
# channel charged_current_neutrino_nucleon
# reference Gandhi_Quigg_Reno_Sarcevic_style_powerlaw
# formula sigma_cm2 = A * (E_GeV)^B
# A_cm2 5.53000000e-36
# B 3.63000000e-01
# notes Approximate literature-scale curve retained only as a scale check; not a PDF reference table.
# Enu_GeV sigma_GeV_minus2 sigma_cm2
4.7745200000e+06 3.7740158183e-06 1.4695237809e-33
5.1966000000e+06 3.8918700508e-06 1.5154137840e-33
5.6559900000e+06 4.0134038472e-06 1.5627365331e-33
6.1559900000e+06 4.1387326070e-06 1.6115369627e-33
6.7001900000e+06 4.2679748624e-06 1.6618612265e-33
7.2925000000e+06 4.4012534226e-06 1.7137571441e-33
7.9371700000e+06 4.5386936661e-06 1.7672735351e-33
8.6388300000e+06 4.6804258325e-06 1.8224611122e-33
9.4025200000e+06 4.8265843169e-06 1.8793722061e-33
1.0233700000e+07 4.9773031429e-06 1.9380590028e-33
1.1138400000e+07 5.1327357857e-06 1.9985812624e-33
1.2123100000e+07 5.2930256363e-06 2.0609948183e-33
1.3194800000e+07 5.4583131691e-06 2.1253543684e-33
1.4361200000e+07 5.6287565328e-06 2.1917214925e-33
1.5630800000e+07 5.8045346325e-06 2.2601658526e-33
1.7012500000e+07 5.9857843032e-06 2.3307407294e-33
1.8516500000e+07 6.1727133477e-06 2.4035270370e-33
2.0153400000e+07 6.3654728594e-06 2.4785836080e-33
2.1935000000e+07 6.5642511927e-06 2.5559837839e-33
2.3874100000e+07 6.7692372093e-06 2.6358011033e-33
2.5984600000e+07 6.9806224539e-06 2.7181101499e-33
2.8281700000e+07 7.1986113933e-06 2.8029905388e-33
3.0781800000e+07 7.4234015847e-06 2.8905191948e-33
3.3503000000e+07 7.6552188508e-06 2.9807840484e-33
3.6464700000e+07 7.8942704167e-06 3.0738657888e-33
3.9688300000e+07 8.1407930632e-06 3.1698566137e-33
4.3196800000e+07 8.3950087058e-06 3.2688429324e-33
4.7015500000e+07 8.6571657648e-06 3.3709214745e-33
5.1171700000e+07 8.9275041893e-06 3.4761856712e-33
5.5695400000e+07 9.2062898639e-06 3.5847390526e-33
6.0619000000e+07 9.4937810497e-06 3.6966821802e-33
6.5977800000e+07 9.7902468280e-06 3.8121198287e-33
7.1810400000e+07 1.0095974278e-05 3.9311637808e-33
7.8158600000e+07 1.0411248127e-05 4.0539249034e-33
8.5067900000e+07 1.0736362891e-05 4.1805178749e-33
9.2588100000e+07 1.1071634909e-05 4.3110658714e-33
1.0077300000e+08 1.1417372462e-05 4.4456889308e-33
1.0968200000e+08 1.1773927708e-05 4.5845241768e-33
1.1937800000e+08 1.2141595196e-05 4.7276862998e-33
1.2993100000e+08 1.2520739167e-05 4.8753171280e-33
1.4141700000e+08 1.2911726464e-05 5.0275595031e-33
1.5391900000e+08 1.3314942936e-05 5.1845636658e-33
1.6752500000e+08 1.3730714383e-05 5.3464564767e-33
1.8233500000e+08 1.4159504437e-05 5.5134184639e-33
1.9845400000e+08 1.4601677660e-05 5.6855915811e-33
2.1599700000e+08 1.5057634494e-05 5.8631317513e-33
2.3509200000e+08 1.5527858638e-05 6.0462273169e-33
2.5587400000e+08 1.6012742667e-05 6.2350311393e-33
2.7849400000e+08 1.6512787036e-05 6.4297380847e-33
3.0311400000e+08 1.7028453405e-05 6.6305279140e-33
3.2990900000e+08 1.7560194025e-05 6.8375767248e-33
3.5907400000e+08 1.8108563745e-05 7.0511005633e-33
3.9081700000e+08 1.8674053127e-05 7.2712904444e-33
4.2536600000e+08 1.9257198878e-05 7.4983553509e-33
4.6296900000e+08 1.9858551749e-05 7.7325097337e-33
5.0389600000e+08 2.0478680932e-05 7.9739752244e-33
5.4844200000e+08 2.1118189136e-05 8.2229865055e-33
5.9692500000e+08 2.1777654561e-05 8.4797687160e-33
6.4969400000e+08 2.2457713837e-05 8.7445697468e-33
7.0712800000e+08 2.3159011336e-05 9.0176405029e-33
7.6964000000e+08 2.3882216932e-05 9.2992418191e-33
8.3767800000e+08 2.4628004241e-05 9.5896359875e-33
9.1173000000e+08 2.5397073505e-05 9.8890956685e-33
9.9232900000e+08 2.6190165449e-05 1.0197909285e-32
1.0800500000e+09 2.7007995371e-05 1.0516355358e-32
1.1755300000e+09 2.7851402405e-05 1.0844760631e-32
1.2794500000e+09 2.8721141297e-05 1.1183418985e-32
1.3925600000e+09 2.9618064905e-05 1.1532662506e-32
1.5156600000e+09 3.0542928702e-05 1.1892785359e-32
1.6496500000e+09 3.1496729192e-05 1.2264175562e-32
1.7954800000e+09 3.2480280897e-05 1.2647150274e-32
1.9542000000e+09 3.3494537022e-05 1.3042080652e-32
2.1269600000e+09 3.4540519323e-05 1.3449364548e-32
2.3149900000e+09 3.5619150637e-05 1.3869361295e-32
2.5196400000e+09 3.6731452499e-05 1.4302468658e-32
2.7423800000e+09 3.7878481438e-05 1.4749098027e-32
2.9848100000e+09 3.9061326513e-05 1.5209673459e-32
3.2486700000e+09 4.0281103630e-05 1.5684629465e-32
3.5358600000e+09 4.1538990324e-05 1.6174424553e-32
3.8484400000e+09 4.2836164949e-05 1.6679517550e-32
4.1886500000e+09 4.4173836281e-05 1.7200379128e-32
4.5589300000e+09 4.5553260811e-05 1.7737498538e-32
4.9619500000e+09 4.6975784779e-05 1.8291399979e-32
5.4005900000e+09 4.8442705175e-05 1.8862588472e-32
5.8780200000e+09 4.9955476226e-05 1.9451630262e-32
6.3976400000e+09 5.1515440254e-05 2.0059048023e-32
6.9632100000e+09 5.3124159855e-05 2.0685450196e-32
7.5787700000e+09 5.4783095327e-05 2.1331405392e-32
8.2487500000e+09 5.6493843719e-05 2.1997535468e-32
8.9779500000e+09 5.8257996633e-05 2.2684460162e-32
9.7716200000e+09 6.0077256753e-05 2.3392842463e-32
1.0635400000e+10 6.1953217859e-05 2.4123302957e-32
1.1575600000e+10 6.3887886812e-05 2.4876623073e-32
1.2599000000e+10 6.5883130127e-05 2.5653529594e-32
1.3712700000e+10 6.7940363908e-05 2.6454573922e-32
1.4925000000e+10 7.0062097381e-05 2.7280733097e-32
1.6244400000e+10 7.2249968635e-05 2.8132644958e-32
1.7680400000e+10 7.4506104325e-05 2.9011137579e-32
1.9243400000e+10 7.6832776042e-05 2.9917095472e-32
2.0944500000e+10 7.9232003494e-05 3.0851305069e-32
2.2796000000e+10 8.1706182214e-05 3.1814699141e-32
2.4811300000e+10 8.4257778515e-05 3.2808238020e-32
2.7004600000e+10 8.6888866494e-05 3.3832729315e-32
2.9391900000e+10 8.9602240634e-05 3.4889261141e-32
3.1990200000e+10 9.2400300506e-05 3.5978767842e-32
3.4818200000e+10 9.5285742269e-05 3.7102299246e-32
3.7896200000e+10 9.8261288519e-05 3.8260915475e-32
4.1246300000e+10 1.0132975265e-04 3.9455712006e-32
4.4892500000e+10 1.0449399061e-04 4.0687800888e-32
4.8861100000e+10 1.0775709752e-04 4.1958387297e-32
5.3180500000e+10 1.1112207846e-04 4.3268641348e-32
5.7881800000e+10 1.1459218096e-04 4.4619827562e-32
6.2998600000e+10 1.1817057398e-04 4.6013179867e-32
6.8567800000e+10 1.2186075571e-04 4.7450060388e-32
7.4629400000e+10 1.2566621679e-04 4.8931828303e-32
8.1226700000e+10 1.2959041980e-04 5.0459831872e-32
8.8407300000e+10 1.3363721583e-04 5.2035570633e-32
9.6222700000e+10 1.3781039437e-04 5.3660520130e-32
1.0472900000e+11 1.4211389225e-04 5.5336213284e-32
1.1398700000e+11 1.4655164964e-04 5.7064184320e-32
1.2406400000e+11 1.5112824768e-04 5.8846217036e-32
1.3503100000e+11 1.5584740797e-04 6.0683760544e-32
1.4696800000e+11 1.6071414402e-04 6.2578767005e-32
1.5996100000e+11 1.6573313708e-04 6.4533059202e-32
1.7410200000e+11 1.7090863036e-04 6.6548289347e-32
1.8949200000e+11 1.7624537055e-04 6.8626305711e-32
2.0624400000e+11 1.8174925910e-04 7.0769406191e-32
2.2447600000e+11 1.8742473610e-04 7.2979319666e-32
2.4432000000e+11 1.9327752384e-04 7.5258274282e-32
2.6591900000e+11 1.9931328625e-04 7.7608475456e-32
2.8942700000e+11 2.0553742035e-04 8.0032024671e-32
3.1501200000e+11 2.1195563420e-04 8.2531144531e-32
3.4286000000e+11 2.1857457109e-04 8.5108421793e-32
3.7317000000e+11 2.2540023742e-04 8.7766195232e-32
4.0615900000e+11 2.3243895075e-04 9.0506924769e-32
4.4206400000e+11 2.3969740813e-04 9.3333218098e-32
4.8114300000e+11 2.4718251870e-04 9.6247765498e-32
5.2367700000e+11 2.5490143441e-04 9.9253351787e-32
5.6997100000e+11 2.6286137817e-04 1.0235278942e-31
6.2035800000e+11 2.7106997481e-04 1.0554904735e-31
6.7519800000e+11 2.7953470558e-04 1.0884503861e-31
7.3488700000e+11 2.8826392383e-04 1.1224401583e-31
7.9985300000e+11 2.9726578384e-04 1.1574915412e-31
8.7056100000e+11 3.0654860291e-04 1.1936369207e-31
9.4752100000e+11 3.1612146016e-04 1.2309116489e-31
1.0312800000e+12 3.2599274358e-04 1.2693483869e-31
1.1224500000e+12 3.3617301675e-04 1.3089882671e-31
1.2216800000e+12 3.4667121963e-04 1.3498661000e-31
1.3296800000e+12 3.5749703106e-04 1.3920195729e-31
1.4472200000e+12 3.6866021548e-04 1.4354867065e-31
1.5751600000e+12 3.8017283884e-04 1.4803144831e-31
1.7144100000e+12 3.9204494801e-04 1.5265420232e-31
1.8659600000e+12 4.0428699804e-04 1.5742100366e-31
2.0309200000e+12 4.1691231259e-04 1.6233704028e-31
2.2104500000e+12 4.2993096094e-04 1.6740623296e-31
2.4058600000e+12 4.4335679250e-04 1.7263397436e-31
2.6185500000e+12 4.5720221426e-04 1.7802509552e-31
2.8500300000e+12 4.7147923752e-04 1.8358427339e-31
3.1019800000e+12 4.8620249538e-04 1.8931720578e-31
3.3762000000e+12 5.0138536482e-04 1.9522910144e-31
3.6746600000e+12 5.1704228076e-04 2.0132558100e-31
3.9995100000e+12 5.3318840023e-04 2.0761254631e-31
4.3530700000e+12 5.4983837853e-04 2.1409570384e-31
4.7378900000e+12 5.6700850629e-04 2.2078139682e-31
5.1567300000e+12 5.8471486312e-04 2.2767588632e-31
5.6126000000e+12 6.0297428923e-04 2.3478572957e-31
6.1087600000e+12 6.2180354077e-04 2.4211745107e-31
6.6487900000e+12 6.4122109075e-04 2.4967824383e-31
7.2365500000e+12 6.6124467511e-04 2.5747501385e-31
7.8762800000e+12 6.8189389964e-04 2.6551539523e-31
8.5725600000e+12 7.0318784083e-04 2.7380681595e-31
9.3303900000e+12 7.2514666715e-04 2.8235712921e-31
1.0155200000e+13 7.4779085115e-04 2.9117430658e-31
1.1053000000e+13 7.7114408303e-04 3.0026757255e-31
1.2030100000e+13 7.9522488513e-04 3.0964413933e-31
1.3093500000e+13 8.2005591796e-04 3.1931283046e-31
1.4251000000e+13 8.4566447572e-04 3.2928427373e-31
1.5510800000e+13 8.7207220105e-04 3.3956689633e-31
1.6882000000e+13 8.9930519688e-04 3.5017086222e-31
1.8374400000e+13 9.2738829106e-04 3.6110583884e-31
1.9998800000e+13 9.5634955053e-04 3.7238275488e-31
2.1766700000e+13 9.8621349199e-04 3.8401115664e-31
2.3690900000e+13 1.0170102617e-03 3.9600278244e-31
2.5785200000e+13 1.0487687106e-03 4.0836886624e-31
2.8064700000e+13 1.0815197524e-03 4.2112144520e-31
3.0545700000e+13 1.1152933397e-03 4.3427218228e-31
3.3246000000e+13 1.1501212595e-03 4.4783345465e-31
3.6185000000e+13 1.1860366305e-03 4.6181815802e-31
3.9383800000e+13 1.2230734083e-03 4.7623951405e-31
4.2865400000e+13 1.2612669816e-03 4.9111130233e-31
4.6654800000e+13 1.3006534505e-03 5.0644757951e-31
5.0779200000e+13 1.3412699480e-03 5.2226280445e-31
5.5268100000e+13 1.3831538342e-03 5.3857152433e-31
6.0154000000e+13 1.4263471758e-03 5.5539011908e-31
6.5471700000e+13 1.4708882955e-03 5.7273351078e-31
7.1259500000e+13 1.5168203781e-03 5.9061851468e-31
7.7559000000e+13 1.5641871645e-03 6.0906216263e-31
8.4415300000e+13 1.6130324820e-03 6.2808152000e-31
9.1877800000e+13 1.6634037344e-03 6.4769504493e-31
1.0000000000e+14 1.7153479541e-03 6.6792105081e-31
